"WT"	"dQ"	"HtoA"	"Null"	"WT_pH7"
"YAL064W"	-0.837351853965525	-0.934248687884269	-0.0972096289022353	-0.204661018670273	-2.58506938933811
"YAL064W-B"	-0.163574236132992	-0.788963129506372	-1.08086275190928	0.365786390133485	-1.00019685762668
"YAL065C"	0.0363820134554825	-0.58570272484004	0.0193702069232131	1.24215567162941	-0.245491392507207
"YAL067C"	0.0734103330299875	-0.926524365752138	-0.663181412469531	0.291580919467825	-0.924107932823555
"YAL067W-A"	-0.59671657284106	0.297285553198167	-1.86660353310609	-0.466492287575869	-3.82844841558739
"YAL068C"	-3.43649684581688	-1.97841349288783	0.434904132205267	-2.74095546496886	0.368261763282479
"YAL069W"	0.0205642870819451	-0.397079492077465	-0.0522776334570591	1.19041194820514	-0.464994738343476
"YAR002C-A"	-0.400727260870767	-0.350294647677341	-0.079684995476618	-0.671988051165686	-0.775625850961801
"YAR002W"	-0.620234091228608	-0.275483963976871	-0.328498143647437	-0.607929913459656	-0.62899445538674
"YAR003W"	-0.363702404379634	-0.464972131192313	-0.521515456879316	-0.483089905807265	-0.768454193787839
"YAR007C"	-0.460916021844092	-0.274345114922668	-0.231338034905925	-0.246137973638794	-0.600571884126449
"YAR008W"	0.29215910994542	-0.413558103418522	-0.106974397128385	0.896959212100376	-0.682626020454874
"YAR009C"	-1.12207540845492	-0.295141631689013	0.240837993922292	-1.31714733597484	1.13054960117367
"YAR010C"	6.02868857194042	0.829987039127495	0.452186104016976	1.0183155445772	0.888716077905915
"YAR014C"	-0.0799080718712741	-0.427200040294679	-0.314092936209207	-0.0312794614359836	-1.63339895128487
"YAR015W"	0.119396456603113	0.799252942483802	0.757051737045411	-0.56649373502779	-1.50823923494394
"YAR018C"	-0.357905328729256	0.332050969683203	-0.104996944452251	-0.773248398621586	-1.54217966807236
"YAR019C"	0.165395062600559	0.886200574088665	0.310298354302896	0.0354765901709147	0.0304427777316151
"YAR019W-A"	-0.464529015597403	0.249956334057047	0.0568273900226778	-1.58667569354308	0.655470467679514
