"WT_Dex_1"	"WT_Dex_2"	"WT_Dex_4"	"dQ_snf5_Dex_1"	"dQ_snf5_Dex_2"	"dQ_snf5_Dex_4"	"HtoA_snf5_Dex_1"	"HtoA_snf5_Dex_2"	"HtoA_snf5_Dex_4"	"Null_Dex_1"	"Null_Dex_2"	"Null_Dex_4"	"WT_Stv_pH5_1"	"WT_Stv_pH5_2"	"WT_Stv_pH5_4"	"WT_Stv_pH7_1"	"WT_Stv_pH7_2"	"WT_Stv_pH7_4"	"dQ_snf5_Stv_pH5_2"	"dQ_snf5_Stv_pH5_3"	"dQ_snf5_Stv_pH5_4"	"HtoA_snf5_Stv_pH5_2"	"HtoA_snf5_Stv_pH5_3"	"HtoA_snf5_Stv_pH5_4"	"Null_Stv_pH5_2"	"Null_Stv_pH5_3"	"Null_Stv_pH5_4"
"YAL008W"	945.109508976223	986.980225144479	856.921801764153	829.520448665199	835.046757308395	715.047224617535	729.860260534347	667.794566363681	708.023022607942	1270.7533508494	1078.98399420115	1247.31208868324	1460.26392591399	1564.60974255593	905.171925089732	1333.23998822311	1205.70347597036	1382.62768625902	1390.33389677034	845.04433455194	1081.19368142668	1376.63790673829	1385.67448205225	821.261897815082	1164.82084152682	1278.90104576065	956.168227627008
"YAL009W"	499.590522069623	548.225040763482	447.225611869612	656.47109530974	592.358197948304	569.712422866003	514.022725055663	503.889869149594	532.23240944327	692.969298050914	502.787897945784	680.418204736776	626.929690782094	626.663064426852	542.942521171835	586.75211818597	593.752089109934	580.905204167143	575.995471519141	495.731453685172	568.10384506947	536.366279697412	610.688753835109	501.173797890259	557.342540386218	620.592732661334	531.908153117011
"YAL010C"	549.092631725912	492.17647429565	548.085933427619	570.504642352512	578.490280270584	521.267488948826	523.557716582833	587.247115161329	432.590725483571	478.080695348798	560.46576804617	522.502963637439	435.957261897702	418.594543689047	412.025907338982	624.709128526842	743.896295551526	590.984001084869	503.16845787879	462.26435132668	444.603009184803	458.523857395402	536.290123926263	437.41122818412	339.251981104655	314.067924374465	468.585753936414
"YAL011W"	881.899122799731	843.355773570659	688.821265834141	1020.43296107671	792.452438726828	812.905991130232	838.21243697947	900.070937272787	878.142970831818	891.137461926063	797.585900681088	911.10544634272	1126.54442897459	1028.05509262183	944.527226180589	2149.31571055184	2577.475543914	1393.62273744199	787.855874836526	1027.02170362624	785.914410175156	711.245146238914	833.884643561646	944.961283044993	1082.93243229466	1187.0121770572	1318.68896293592
"YAL012W"	9320.10489190251	10898.8189014401	7488.68340994257	20109.4513073453	20528.4804252185	19816.8846681605	8694.17863795666	9314.46979310913	7242.24922438787	12470.3509873559	8195.50099699114	12957.0546902014	2381.36831775537	3883.67266463752	8132.89344583729	13205.8765144282	22837.8437646537	8532.15971798806	11735.080152502	21167.9422417466	12826.1231740586	6245.52147154621	9135.53176422369	13810.9725983499	1727.17695798848	2728.55081023144	1459.58130111275
"YAL013W"	3705.04251504377	3650.16289121756	2813.1429222148	4733.73714985255	4266.36581699556	3511.288810317	3450.80011542427	3099.20367475094	3409.6898194014	4678.62649398986	3451.35053004731	5503.74639831469	4595.87688704104	5059.17789006567	3936.33327849581	6373.61465307132	7450.33751660932	5160.34402187594	6090.98659537483	5407.02872479397	3611.83808219068	4332.51728511051	3900.76149869296	2981.5377594591	4138.70705027427	4392.83651428564	5278.71350169248
"YAL014C"	1580.2596544123	1631.53873952455	1391.71606490893	1699.2330052065	1694.857653327	1572.52255495157	1454.51961659933	1287.82262096783	1616.13950812682	1901.17582217722	1433.79028603079	1947.3787335568	1684.02960016236	1843.12666007898	1395.90843461043	1883.61663816574	2773.11799473184	1828.84351343473	3042.18297888558	3181.46641795421	1684.10230751819	2065.49002738347	2451.02152977475	1599.16524822999	1728.84815001362	1807.60490971854	1757.98810725131
"YAL015C"	974.049203852207	951.074112251024	731.041865556097	1191.24941955016	1088.63153770098	912.702554999617	1041.04771128474	945.964252492732	876.522780848733	1122.12722794303	932.167597581987	1210.92608842994	909.53030524233	786.400708300363	927.660668570222	2214.15893655083	2088.36941686942	1637.34637199792	2350.32634930224	2848.88708826669	1068.84359783821	1299.86181898836	1759.73426020506	941.135528862625	686.85992233504	934.6606570358	641.930821693297
"YAL016C-A"	87.5806555457418	107.718338680365	125.879936208055	130.624350597346	123.820693551067	95.9209691560107	78.0135670404884	91.7866304398888	98.0214939766144	143.671918809483	98.4602024945974	128.078720891628	60.7639546450337	72.0867315941999	65.0567222114181	205.60047267972	156.968943098028	170.423293336102	225.101678524722	94.1262253832606	97.6779338360552	97.0364442394921	164.296974382034	65.0378211002627	58.4917208801129	114.518216966235	57.7816892522943
"YAL016C-B"	42.6479713961873	39.4091482976944	18.7647109875362	12.2809218510326	30.7075320006646	14.5334801751531	26.8713397583905	29.9711446334331	15.3918048393031	66.881755307863	56.512660603408	37.8414402634357	88.734663926081	54.8842161001295	39.3553010908579	49.0278050236256	25.0240344069321	48.5614760581365	26.4825504146732	25.1003267688695	16.8410230751819	42.6533820832932	44.4325150844496	17.8535195177192	100.271521508765	71.3167339190926	57.7816892522943
